# 段末無句讀 303 處裡定得出位置的 293 處，逐格判讀（接觸表 tails-sheet-00..14）。
# 每列：篇-段 TAB 判定。段號是 paragraphs 的索引（0 起算），與 audit-drafts.mjs 印的一致。
# 判定＝原頁圖上該段末實有的標點（。：？！，）；「無」＝原書該處本無句讀（表格欄、
# 小標、清單項、書信落款），不改；「待查」＝圖中看不出來或裁圖沒對準，要單獨回原頁圖。
#
# 2026-08-24 重來一次：第一版的 crop-tails.py 把「第 N 段」當成 1 起算，裁的是前一段的
# 段末，263 格全部差一段。差出來的那一段多半有句讀，於是每一格都判成「原書有而 GCV 掉了」，
# 判讀本身看不出破綻。舊的 263 條判定全部作廢，本檔自此重記。
063-1	併段（換欄處被判成新段）
064-0	無
064-9	。
066-9	無（小標；另補回掉的「專」）
069-0	無
069-6	無
070-1	。
071-12	無
072-0	無
072-4	無
072-8	無
073-0	。
073-1	。
073-2	。
074-0	無
074-7	。
076-7	。
077-0	無
078-3	。
079-6	。（換欄處的「事。」被讀成拉丁字母）
080-4	。
082-12	。
083-0	。
083-1	。（「哲學方面的基本原則」原被當書根丟，已由產線修回）
083-9	無
084-0	。
085-0	無
085-2	。
085-9	。
086-2	。
087-4	併段（換欄處掉「書。」）
087-7	併段（換欄處掉「茫茫」）
094-4	併段（同一欄的下半截排到整段之前）
095-7	無
096-0	無
098-0	。
098-6	。（換欄處的「輟。」自成一欄）
099-8	。
100-4	。
100-6	。
101-0	無
101-2	無
101-6	。
102-0	無
102-3	無
102-6	無
102-10	無
103-7	無
103-11	。
103-14	無
103-17	。（換欄處的「助。」自成一欄）
104-6	無
105-0	無
105-1	無
105-2	無
105-3	無
105-4	無
105-5	無
105-6	無
105-8	無
105-9	無
105-11	無
105-13	無
105-15	無
105-16	。
105-17	無
105-19	無
105-21	無
105-23	無
105-24	無
105-25	無
105-27	無
105-29	無
105-30	無
105-31	無
105-32	無
105-33	無
105-34	無
105-35	無
105-36	。
105-37	無
105-38	無
105-39	無
105-40	無
105-41	無
105-42	無
105-43	無
105-44	無
105-45	無
105-46	無
105-47	無
105-48	無
105-49	無
105-51	無
105-52	無
105-53	無
105-54	無
105-55	無
105-56	無
105-57	無
105-58	無
105-59	無
105-60	無
105-61	無
105-62	無
105-63	無
105-64	無
105-65	無
105-66	無
105-67	無
105-68	無
105-69	無
105-70	無
105-71	無
105-72	無
105-73	無
105-74	無
105-75	無
105-76	無
105-77	無
105-78	無
105-79	無
105-80	無
105-81	無
105-82	無
105-85	無
108-1	無
108-3	無
109-7	。（篇末換欄處的「黨。」自成一欄）
112-4	。
113-4	。
115-1	：
116-14	併段（換欄處掉「事，」）
116-16	。
123-0	無
123-10	。（篇末換欄處的「的。」自成一欄）
127-1	。
128-5	。
130-1	。
131-1	。
131-9	併段（換欄處掉「日，」）
131-13	併段（換欄處掉「戰，」）
131-18	。（篇末換欄處的「平。」自成一欄）
134-5	。
134-6	。
134-13	併段（換欄處掉「日。」）
135-3	。
135-5	。
135-12	。
136-0	。
139-13	。
140-1	併段（換欄處被判成新段）
143-0	。
144-0	。
144-7	。
146-3	。
146-10	。
152-0	。
154-11	併段（換欄處掉「事。」）
155-5	。（換欄處的「事。」自成一欄）
157-4	。
158-5	。
158-7	併段（兩處兩字寬破折號都掉了）
159-8	。
160-0	無
160-25	無（譯詩的行末）
162-2	併段（換欄處掉「會，」）
163-11	。
164-0	。
165-7	。
173-0	。
174-4	無
174-6	無
174-9	無
174-11	無
174-12	無
174-14	無
174-15	無
174-16	無
174-17	無
174-19	無
175-20	併段（換欄處被判成新段）
175-28	併段（換欄處掉整個 (Kirghiz S.S.R.)。）
186-0	。
189-1	。
191-2	。
191-8	。
192-5	無
192-6	。（換欄處的「效果。」自成一欄）
194-1	。
194-8	。
194-11	。
195-7	。
197-3	併段（換欄處被判成新段）
198-0	產線修回（末篇的訖頁先前只到起頁那一頁，原書 745–750 少了五頁）
# 2026-08-24 第二輪：32 處待查逐處回原頁圖判完，判定與校訂條目對照見各篇 corrections/ZJH-NNN.tsv。
# 定不出位置的十處：ZJH-003/008/009/FM-002 是落款與日期行，原書本無句讀；ZJH-105 第 50 段是航線表。
# 其餘五處（012-6、014-6、014-9、015-12、060-56）的頁圖檔名對百位以下的頁補了零，裁圖腳本沒補才找不到，已補。
